column,semantic_type,unit,transform_hint,data_quality
Unnamed:_0,identifier,unknown,none,[]
date,identifier,unknown,none,[]
time,categorical ordinal,time,none,[]
description,categorical nominal,unknown,none,[]
location,categorical nominal,unknown,none,[]
latitude,numeric continuous,geospatial,none,[]
longitude,numeric continuous,geospatial,none,[]
accident,categorical nominal,unknown,none,[]
belts,unknown,unknown,none,[]
personal_injury,binary,unknown,none,[]
property_damage,binary,unknown,none,[]
fatal,binary,unknown,none,[]
commercial_license,binary,unknown,none,[]
hazmat,unknown,unknown,none,[]
commercial_vehicle,binary,unknown,none,[]
alcohol,binary,unknown,none,[]
work_zone,binary,unknown,none,[]
vehicletype,categorical nominal,unknown,none,[]
year,numeric continuous,unknown,none,[]
make,categorical nominal,unknown,none,[]
model,categorical nominal,unknown,none,[]
color,categorical nominal,unknown,none,[]
violation_type,categorical nominal,geospatial,none,[]
contributed_to_accident,categorical nominal,unknown,none,[]
race,categorical nominal,unknown,none,[]
gender,categorical nominal,unknown,none,[]
driver_state,categorical nominal,unknown,none,[]
dl_state,categorical nominal,unknown,none,[]
Unnamed: 28,binary,unknown,none,['high_missing']
